1 	0.41 	0.06 	0.01
2 	0.40 	0.06 	0.02
3 	0.41 	0.07 	0.00
4 	0.40 	0.07 	0.00
5 	0.40 	0.08 	0.00
6 	0.40 	0.08 	0.00
7 	0.40 	0.06 	0.02
8 	0.40 	0.08 	0.00
9 	0.40 	0.08 	0.00
10 	0.40 	0.07 	0.00
11 	0.38 	0.07 	0.00
12 	0.40 	0.07 	0.00
13 	0.40 	0.06 	0.02
14 	0.40 	0.06 	0.00
15 	0.40 	0.08 	0.00
16 	0.40 	0.07 	0.00
17 	0.40 	0.07 	0.00
18 	0.40 	0.07 	0.00
19 	0.40 	0.07 	0.01
20 	0.40 	0.07 	0.00
21 	0.40 	0.07 	0.00
22 	0.40 	0.06 	0.00
23 	0.40 	0.07 	0.00
24 	0.40 	0.08 	0.00
25 	0.40 	0.07 	0.00
26 	0.40 	0.08 	0.00
27 	0.40 	0.07 	0.00
28 	0.40 	0.07 	0.00
29 	0.40 	0.07 	0.00
30 	0.41 	0.08 	0.00
31 	0.40 	0.07 	0.00
32 	0.40 	0.07 	0.00
33 	0.40 	0.06 	0.00
34 	0.40 	0.07 	0.00
35 	0.40 	0.07 	0.00
36 	0.40 	0.06 	0.01
37 	0.40 	0.07 	0.00
38 	0.40 	0.08 	0.00
39 	0.40 	0.07 	0.00
40 	0.40 	0.07 	0.00
41 	0.40 	0.08 	0.00
42 	0.40 	0.06 	0.01
43 	0.41 	0.06 	0.01
44 	0.41 	0.07 	0.00
45 	0.40 	0.07 	0.00
46 	0.41 	0.07 	0.01
47 	0.40 	0.06 	0.01
48 	0.40 	0.07 	0.00
49 	0.40 	0.06 	0.01
50 	0.40 	0.07 	0.01
51 	0.40 	0.06 	0.01
52 	0.41 	0.06 	0.01
53 	0.40 	0.08 	0.00
54 	0.40 	0.07 	0.00
55 	0.40 	0.07 	0.00
56 	0.39 	0.07 	0.00
57 	0.40 	0.07 	0.00
58 	0.40 	0.07 	0.01
59 	0.49 	0.07 	0.00
60 	0.39 	0.07 	0.00
61 	0.41 	0.07 	0.00
62 	0.41 	0.07 	0.00
63 	0.41 	0.06 	0.01
64 	0.40 	0.06 	0.01
65 	0.40 	0.07 	0.00
66 	0.40 	0.07 	0.00
67 	0.41 	0.06 	0.01
68 	0.41 	0.08 	0.00
69 	0.40 	0.06 	0.01
70 	0.40 	0.07 	0.00
71 	0.40 	0.08 	0.00
72 	0.40 	0.08 	0.00
73 	0.41 	0.08 	0.00
74 	0.39 	0.07 	0.00
75 	0.41 	0.07 	0.01
76 	0.40 	0.07 	0.00
77 	0.40 	0.07 	0.00
78 	0.40 	0.06 	0.01
79 	0.40 	0.06 	0.01
80 	0.40 	0.06 	0.00
81 	0.40 	0.06 	0.01
82 	0.40 	0.07 	0.00
83 	0.39 	0.06 	0.01
84 	0.39 	0.07 	0.00
85 	0.40 	0.06 	0.01
86 	0.40 	0.06 	0.00
87 	0.40 	0.07 	0.00
88 	0.40 	0.08 	0.00
89 	0.40 	0.07 	0.00
90 	0.40 	0.07 	0.00
91 	0.40 	0.07 	0.00
92 	0.40 	0.06 	0.00
93 	0.40 	0.07 	0.00
94 	0.40 	0.07 	0.00
95 	0.40 	0.07 	0.00
96 	0.41 	0.06 	0.01
97 	0.41 	0.06 	0.01
98 	0.41 	0.08 	0.00
99 	0.41 	0.07 	0.00
100 	0.39 	0.06 	0.01
101 	0.40 	0.07 	0.00
102 	0.40 	0.06 	0.00
103 	0.40 	0.07 	0.00
104 	0.40 	0.07 	0.00
105 	0.40 	0.07 	0.00
106 	0.40 	0.07 	0.00
107 	0.40 	0.06 	0.01
108 	0.40 	0.07 	0.00
109 	0.41 	0.08 	0.00
110 	0.41 	0.07 	0.01
111 	0.40 	0.07 	0.00
112 	0.40 	0.06 	0.01
113 	0.41 	0.07 	0.00
114 	0.41 	0.06 	0.02
115 	0.40 	0.06 	0.01
116 	0.40 	0.06 	0.00
117 	0.40 	0.08 	0.00
118 	0.40 	0.06 	0.01
119 	0.40 	0.06 	0.00
120 	0.40 	0.06 	0.01
121 	0.40 	0.07 	0.00
122 	0.39 	0.06 	0.00
123 	0.40 	0.06 	0.01
124 	0.40 	0.07 	0.00
125 	0.40 	0.07 	0.00
126 	0.39 	0.07 	0.00
127 	0.40 	0.07 	0.00
128 	0.40 	0.07 	0.00
129 	0.40 	0.08 	0.00
130 	0.40 	0.06 	0.01
131 	0.41 	0.06 	0.01
132 	0.40 	0.07 	0.00
133 	0.40 	0.07 	0.00
134 	0.39 	0.05 	0.02
135 	0.40 	0.07 	0.00
136 	0.41 	0.06 	0.01
137 	0.41 	0.08 	0.00
